fecha,categoria,total
2024-04-29,3,450
2024-04-29,3,450
2024-04-29,5,260
2024-04-29,1,123
2024-04-29,1,123
2024-04-29,1,85
2024-04-29,5,1090
2024-04-29,5,195
2024-04-29,3,192
2024-04-29,3,184
2024-04-29,5,195
2024-04-29,5,110
2024-04-29,5,197
2024-04-29,3,80
2024-04-29,3,82
2024-04-29,4,80
2024-04-29,4,80
2024-04-29,5,65
2024-04-29,5,56
2024-04-29,4,80
2024-04-29,5,53
2024-04-29,3,288
2024-04-29,3,96
2024-04-29,2,117
2024-04-29,4,140
2024-04-29,3,320
2024-04-29,3,276
2024-04-29,4,80
2024-04-29,4,80
2024-04-29,4,83
2024-04-29,3,92
2024-04-29,4,40
2024-04-29,3,53
2024-04-29,4,53
2024-04-29,5,530
2024-04-29,1,105
2024-04-29,3,160
2024-04-29,3,160
2024-04-29,1,43
2024-04-29,3,80
2024-04-29,3,80
2024-04-29,3,80
2024-04-29,3,184
2024-04-29,4,80
2024-04-29,4,80
2024-04-29,4,80
2024-04-29,3,90
2024-04-29,5,110
2024-04-29,3,92
2024-04-29,1,123
2024-04-29,1,85
2024-04-29,1,90
2024-04-29,1,86
2024-04-29,3,240
2024-04-29,5,110
2024-04-29,5,195
2024-04-29,3,92
2024-04-29,4,136
2024-04-29,4,80
2024-04-29,3,80
2024-04-29,1,595
2024-04-29,1,492
2024-04-29,5,195
2024-04-29,3,184
2024-04-29,5,220
2024-04-29,3,160
2024-04-29,3,82
2024-04-29,5,65
2024-04-29,5,390
2024-04-29,1,280
2024-04-29,4,80
2024-04-29,4,80
2024-04-29,4,70
2024-04-29,5,780
2024-04-29,4,136
2024-04-29,3,160
2024-04-29,1,246
2024-04-29,1,85
2024-04-29,1,170
2024-04-29,5,1300
2024-04-29,5,550
2024-04-29,1,150
2024-04-29,4,320
2024-04-29,3,320
2024-04-29,3,184
2024-04-29,5,330
2024-04-29,5,53
2024-04-29,5,530
2024-04-29,4,80
2024-04-29,4,40
2024-04-29,1,180
2024-04-29,3,92
2024-04-29,1,45
2024-04-29,5,197
2024-04-29,1,170
2024-04-29,3,92
2024-04-29,3,92
2024-04-29,4,160
2024-04-29,7,140
2024-04-29,1,123
2024-04-29,3,80
2024-04-29,3,80
2024-04-29,5,195
2024-04-29,5,1090
2024-04-29,1,105
2024-04-29,3,80
2024-04-29,3,82
2024-04-29,3,71
2024-04-29,1,90
2024-04-29,1,43
2024-04-29,1,85
2024-04-29,1,255
2024-04-29,3,82
2024-04-29,5,56
2024-04-29,4,83
2024-04-29,1,43
2024-04-29,3,80
2024-04-29,4,80
2024-04-29,3,160
2024-04-29,3,164
2024-04-29,3,160
2024-04-29,5,330
2024-04-29,4,160
2024-04-29,4,160
2024-04-29,3,276
2024-04-29,1,425
2024-04-29,5,394
2024-04-29,3,400
2024-04-29,3,80
2024-04-29,3,80
2024-04-29,3,82
2024-04-29,4,136
2024-04-29,4,77
2024-04-29,5,53
2024-04-29,3,240
2024-04-29,8,143
2024-04-29,2,130
2024-04-29,3,92
2024-04-29,8,143
2024-04-29,1,45
2024-04-29,1,123
2024-04-29,1,255
2024-04-29,1,369
2024-04-29,5,591
2024-04-29,1,1210
2024-04-29,1,425
2024-04-29,5,770
2024-04-29,3,455
2024-04-29,4,160
2024-04-29,4,80
2024-04-29,3,160
2024-04-29,4,118
2024-04-29,3,400
2024-04-29,3,92
2024-04-29,4,145
2024-04-29,5,394
2024-04-29,1,1680
2024-04-29,1,255
2024-04-29,1,369
2024-04-29,1,225
2024-04-29,1,215
2024-04-29,4,80
2024-04-29,4,80
2024-04-29,5,220
2024-04-29,4,145
2024-04-29,3,142
2024-04-29,1,35
2024-04-29,1,43
2024-04-29,4,83
2024-04-29,5,110
2024-04-29,3,240
2024-04-29,5,197
2024-04-29,1,85
2024-04-29,1,170
2024-04-29,4,188
2024-04-29,4,77
2024-04-29,1,123
2024-04-29,1,150
2024-04-29,3,240
2024-04-29,4,560
2024-04-29,4,560
2024-04-29,4,560
2024-04-29,4,249
2024-04-29,3,900
2024-04-29,1,1210
2024-04-29,1,1260
2024-04-29,1,732
2024-04-29,3,80
2024-04-29,8,145
2024-04-30,1,255
2024-04-30,4,70
2024-04-30,2,130
2024-04-30,3,92
2024-04-30,1,215
2024-04-30,1,246
2024-04-30,1,172
2024-04-30,3,160
2024-04-30,3,80
2024-04-30,3,80
2024-04-30,4,80
2024-04-30,1,90
2024-04-30,1,340
2024-04-30,3,80
2024-04-30,3,71
2024-04-30,3,58
2024-04-30,5,56
2024-04-30,1,170
2024-04-30,3,116
2024-04-30,3,92
2024-04-30,7,140
2024-04-30,1,86
2024-04-30,1,340
2024-04-30,4,188
2024-04-30,3,160
2024-04-30,3,80
2024-04-30,3,71
2024-04-30,3,192
2024-04-30,3,142
2024-04-30,5,110
2024-04-30,4,80
2024-04-30,3,80
2024-04-30,3,80
2024-04-30,3,80
2024-04-30,1,215
2024-04-30,3,80
2024-04-30,1,170
2024-04-30,4,188
2024-04-30,8,145
2024-04-30,4,77
2024-04-30,4,77
2024-04-30,1,1210
2024-04-30,1,830
2024-04-30,3,100
2024-04-30,4,80
2024-04-30,3,160
2024-04-30,3,100
2024-04-30,4,80
2024-04-30,3,80
2024-04-30,5,550
2024-04-30,1,246
2024-04-30,5,197
2024-04-30,3,160
2024-04-30,3,500
2024-04-30,3,450
2024-04-30,1,85
2024-04-30,3,320
2024-04-30,3,80
2024-04-30,3,82
2024-04-30,3,80
2024-04-30,3,184
2024-04-30,4,80
2024-04-30,1,180
2024-04-30,2,130
2024-04-30,8,143
2024-04-30,1,35
2024-04-30,1,170
2024-04-30,5,2180
2024-04-30,5,640
2024-04-30,4,940
2024-04-30,5,330
2024-04-30,3,160
2024-04-30,3,164
2024-04-30,5,65
2024-04-30,3,100
2024-04-30,3,80
2024-04-30,7,140
2024-04-30,1,170
2024-04-30,1,170
2024-04-30,3,60
2024-04-30,5,110
2024-04-30,4,80
2024-04-30,1,45
2024-04-30,1,43
2024-04-30,3,92
2024-04-30,5,65
2024-04-30,3,160
2024-04-30,3,368
2024-04-30,3,568
2024-04-30,3,184
2024-04-30,1,258
2024-04-30,1,280
2024-04-30,5,197
2024-04-30,3,184
2024-04-30,3,116
2024-04-30,3,1170
2024-04-30,3,780
2024-04-30,3,1560
2024-04-30,1,123
2024-04-30,8,143
2024-04-30,1,1260
2024-04-30,1,85
2024-04-30,1,450
2024-04-30,3,395
2024-04-30,3,200
2024-04-30,3,92
2024-04-30,3,92
2024-04-30,3,92
2024-04-30,3,80
2024-05-01,8,143
2024-05-01,1,440
2024-05-01,3,160
2024-05-01,5,110
2024-05-01,3,92
2024-05-01,1,170
2024-05-01,1,123
2024-05-01,3,80
2024-05-01,3,92
2024-05-01,1,830
2024-05-01,1,35
2024-05-01,4,118
2024-05-01,3,160
2024-05-01,5,110
2024-05-01,3,92
2024-05-01,4,80
2024-05-01,4,80
2024-05-01,3,100
2024-05-01,3,80
2024-05-01,3,240
2024-05-01,5,550
2024-05-01,3,92
2024-05-01,5,197
2024-05-01,3,300
2024-05-01,5,205
2024-05-01,5,265
2024-05-01,1,85
2024-05-01,1,369
2024-05-01,3,160
2024-05-01,5,110
2024-05-01,5,265
2024-05-01,3,120
2024-05-01,1,246
2024-05-01,1,85
2024-05-01,3,80
2024-05-01,3,80
2024-05-01,3,100
2024-05-01,3,92
2024-05-01,5,220
2024-05-01,3,53
2024-05-01,4,53
2024-05-01,5,205
2024-05-01,4,188
2024-05-01,5,260
2024-05-01,4,77
2024-05-01,7,140
2024-05-01,1,170
2024-05-01,1,246
2024-05-01,4,280
2024-05-01,3,80
2024-05-01,5,205
2024-05-01,5,197
2024-05-01,3,160
2024-05-01,1,170
2024-05-01,5,205
2024-05-01,4,145
2024-05-01,3,92
2024-05-01,3,80
2024-05-01,3,92
2024-05-01,3,80
2024-05-01,4,80
2024-05-01,5,110
2024-05-01,3,92
2024-05-01,4,80
2024-05-01,1,85
2024-05-01,1,123
2024-05-01,3,240
2024-05-01,3,82
2024-05-01,5,5425
2024-05-01,3,780
2024-05-01,5,640
2024-05-01,5,197
2024-05-01,3,100
2024-05-01,5,205
2024-05-01,5,110
2024-05-01,4,145
2024-05-01,4,70
2024-05-01,4,136
2024-05-01,1,1210
2024-05-01,3,390
2024-05-01,3,240
2024-05-01,3,164
2024-05-01,5,195
2024-05-01,7,140
2024-05-01,7,140
2024-05-01,1,123
2024-05-01,8,143
2024-05-01,1,135
2024-05-01,5,110
2024-05-01,3,800
2024-05-01,4,780
2024-05-01,3,560
2024-05-01,3,116
2024-05-01,5,1280
2024-05-01,3,1320
2024-05-02,5,205
2024-05-02,4,80
2024-05-02,5,197
2024-05-02,3,92
2024-05-02,3,100
2024-05-02,1,135
2024-05-02,2,130
2024-05-02,4,140
2024-05-02,4,118
2024-05-02,1,150
2024-05-02,3,53
2024-05-02,4,53
2024-05-02,4,53
2024-05-02,3,474
2024-05-02,3,194
2024-05-02,3,80
2024-05-02,3,80
2024-05-02,4,188
2024-05-02,3,184
2024-05-02,7,140
2024-05-02,3,276
2024-05-02,3,200
2024-05-02,4,160
2024-05-02,4,80
2024-05-02,4,118
2024-05-02,5,205
2024-05-02,5,197
2024-05-02,2,95
2024-05-02,9,18
2024-05-02,5,212
2024-05-02,4,272
2024-05-02,10,80
2024-05-02,10,80
2024-05-02,3,276
2024-05-02,1,215
2024-05-02,1,170
2024-05-02,8,143
2024-05-02,10,40
2024-05-02,10,40
2024-05-02,10,50
2024-05-02,3,80
2024-05-02,9,45
2024-05-02,3,160
2024-05-02,3,80
2024-05-02,3,100
2024-05-02,4,80
2024-05-02,2,18.25
2024-05-02,2,18.25
2024-05-02,4,80
2024-05-02,3,92
2024-05-02,3,92
2024-05-02,1,150
2024-05-02,1,85
2024-05-02,5,197
2024-05-02,5,56
2024-05-02,3,80
2024-05-02,8,143
2024-05-02,3,828
2024-05-02,3,320
2024-05-02,3,400
2024-05-02,3,97
2024-05-02,3,80
2024-05-02,5,65
2024-05-02,3,82
2024-05-02,10,40
2024-05-02,10,40
2024-05-02,10,80
2024-05-02,4,80
2024-05-03,5,440
2024-05-03,3,184
2024-05-03,5,197
2024-05-03,3,97
2024-05-03,4,80
2024-05-03,3,160
2024-05-03,4,80
2024-05-03,1,369
2024-05-03,1,340
2024-05-03,3,80
2024-05-03,5,110
2024-05-03,5,197
2024-05-03,3,92
2024-05-03,4,80
2024-05-03,1,246
2024-05-03,1,85
2024-05-03,1,102
2024-05-03,1,215
2024-05-03,1,90
2024-05-03,1,43
2024-05-03,1,150
2024-05-03,4,118
2024-05-03,4,53
2024-05-03,3,160
2024-05-03,3,80
2024-05-03,3,80
2024-05-03,5,56
2024-05-03,3,142
2024-05-03,4,77
2024-05-03,5,65
2024-05-03,5,110
2024-05-03,1,35
2024-05-03,3,92
2024-05-03,3,92
2024-05-03,3,92
2024-05-03,3,100
2024-05-03,3,92
2024-05-03,4,80
2024-05-03,4,80
2024-05-03,7,140
2024-05-03,9,36
2024-05-03,1,150
2024-05-03,1,215
2024-05-03,1,170
2024-05-03,1,35
2024-05-03,3,92
2024-05-03,1,85
2024-05-03,3,160
2024-05-03,3,160
2024-05-03,3,160
2024-05-03,5,265
2024-05-03,5,130
2024-05-03,5,110
2024-05-03,3,184
2024-05-03,4,80
2024-05-03,4,80
2024-05-03,4,80
2024-05-03,5,197
2024-05-03,3,80
2024-05-03,3,92
2024-05-03,3,100
2024-05-03,1,225
2024-05-03,1,86
2024-05-03,4,145
2024-05-03,5,205
2024-05-03,8,145
2024-05-03,3,142
2024-05-03,1,280
2024-05-03,2,130
2024-05-03,3,194
2024-05-03,3,80
2024-05-03,3,80
2024-05-03,5,110
2024-05-03,1,246
2024-05-03,3,160
2024-05-03,3,92
2024-05-03,3,97
2024-05-03,3,92
2024-05-03,3,80
2024-05-03,5,110
2024-05-03,3,1560
2024-05-03,3,4290
2024-05-03,10,160
2024-05-03,10,80
2024-05-03,4,68
2024-05-03,4,77
2024-05-03,4,80
2024-05-03,9,100
2024-05-03,6,110
2024-05-03,1,369
2024-05-03,1,85
2024-05-03,5,220
2024-05-03,3,184
2024-05-03,3,92
2024-05-03,3,80
2024-05-03,3,92
2024-05-03,1,85
2024-05-03,4,80
2024-05-03,5,330
2024-05-03,7,140
2024-05-03,3,80
2024-05-03,8,143
2024-05-03,10,40
2024-05-03,1,85
2024-05-03,1,123
2024-05-03,1,225
2024-05-03,1,215
2024-05-03,4,385
2024-05-03,5,110
2024-05-03,5,130
2024-05-03,3,100
2024-05-03,3,92
2024-05-03,3,80
2024-05-03,3,80
2024-05-03,3,97
2024-05-03,3,80
2024-05-03,1,123
2024-05-03,2,130
2024-05-03,10,50
2024-05-03,10,50
2024-05-03,10,40
2024-05-03,10,20
2024-05-03,10,80
2024-05-03,10,50
2024-05-03,10,40
2024-05-03,10,40
2024-05-03,9,20
2024-05-03,9,36
2024-05-03,9,20
2024-05-03,6,110
2024-05-03,10,40
2024-05-03,10,40
2024-05-03,10,50
2024-05-03,10,50
2024-05-03,10,50
2024-05-03,10,80
2024-05-03,3,160
2024-05-03,1,85
2024-05-03,3,80
2024-05-03,3,97
2024-05-03,5,2725
2024-05-03,3,400
2024-05-03,1,595
2024-05-03,1,123
2024-05-03,4,80
2024-05-03,3,92
2024-05-03,3,80
2024-05-03,1,90
2024-05-03,9,9
2024-05-03,3,80
2024-05-03,3,97
2024-05-03,3,80
2024-05-03,3,80
2024-05-03,5,205
2024-05-03,1,90
2024-05-03,1,85
2024-05-03,4,80
2024-05-03,3,92
2024-05-03,4,83
2024-05-03,5,255
2024-05-03,3,80
2024-05-03,3,100
2024-05-03,3,92
2024-05-03,3,71
2024-05-03,4,80
2024-05-03,5,53
2024-05-03,4,80
2024-05-03,4,80
2024-05-03,1,170
2024-05-03,3,160
2024-05-03,3,97
2024-05-03,3,100
2024-05-03,1,85
2024-05-03,1,150
2024-05-03,2,95
2024-05-03,3,71
2024-05-03,3,160
2024-05-03,3,97
2024-05-03,3,100
2024-05-03,1,85
2024-05-03,1,150
2024-05-03,2,95
2024-05-03,3,71
2024-05-03,3,194
2024-05-03,3,80
2024-05-03,8,143
2024-05-03,5,110
2024-05-03,10,80
2024-05-03,6,220
2024-05-03,3,240
2024-05-03,5,197
2024-05-03,4,83
2024-05-03,4,118
2024-05-03,5,265
2024-05-03,5,130
2024-05-03,5,220
2024-05-03,3,276
2024-05-03,3,184
2024-05-03,3,184
2024-05-03,3,200
2024-05-03,1,369
2024-05-03,1,340
2024-05-03,3,92
2024-05-03,3,92
2024-05-03,1,90
2024-05-03,5,110
2024-05-03,5,130
2024-05-03,4,80
2024-05-03,4,80
2024-05-03,3,92
2024-05-03,9,45
2024-05-03,3,92
2024-05-03,9,45
2024-05-03,4,80
2024-05-03,1,45
2024-05-03,1,43
2024-05-03,1,246
2024-05-03,4,118
2024-05-03,9,54
2024-05-03,3,37
2024-05-03,4,154
2024-05-03,3,53
2024-05-03,4,53
2024-05-03,3,100
2024-05-03,3,92
2024-05-03,3,80
2024-05-03,3,116
2024-05-03,9,27
2024-05-03,5,205
2024-05-03,3,200
2024-05-03,3,92
2024-05-03,3,80
2024-05-03,3,80
2024-05-03,3,80
2024-05-03,3,82
2024-05-03,1,340
2024-05-03,9,36
2024-05-03,4,70
2024-05-03,5,1100
2024-05-03,5,205
2024-05-03,3,485
2024-05-03,10,120
2024-05-03,10,80
2024-05-03,10,80
2024-05-03,5,205
2024-05-03,1,170
2024-05-03,1,123
2024-05-03,3,200
2024-05-03,1,255
2024-05-03,5,550
2024-05-03,10,40
2024-05-03,10,80
2024-05-03,10,40
2024-05-03,10,20
2024-05-03,4,80
2024-05-03,4,80
2024-05-03,4,80
2024-05-03,1,85
2024-05-03,1,170
2024-05-03,1,150
2024-05-03,1,85
2024-05-03,4,140
2024-05-03,3,47
2024-05-03,6,110
2024-05-03,3,92
2024-05-03,3,80
2024-05-03,9,27
2024-05-03,10,80
2024-05-03,7,140
2024-05-03,10,80
2024-05-03,3,71
2024-05-03,5,220
2024-05-03,5,212
2024-05-03,3,100
2024-05-03,3,194
2024-05-03,3,92
2024-05-03,3,80
2024-05-03,1,45
2024-05-03,5,197
2024-05-03,10,40
2024-05-03,10,40
2024-05-03,10,40
2024-05-03,3,100
2024-05-03,5,330
2024-05-03,1,170
2024-05-03,5,56
2024-05-03,4,68
2024-05-03,10,40
2024-05-04,3,240
2024-05-04,5,394
2024-05-04,4,140
2024-05-04,4,160
2024-05-04,4,118
2024-05-04,1,90
2024-05-04,1,43
2024-05-04,4,154
2024-05-04,4,53
2024-05-04,3,53
2024-05-04,9,80
2024-05-04,9,40
2024-05-04,1,13
2024-05-04,10,40
2024-05-04,10,40
2024-05-04,10,40
2024-05-04,10,40
2024-05-04,10,80
2024-05-04,10,40
2024-05-04,9,18
2024-05-04,3,450
2024-05-04,3,270
2024-05-04,3,180
2024-05-04,5,330
2024-05-04,5,110
2024-05-04,5,197
2024-05-04,3,97
2024-05-04,3,240
2024-05-04,9,40
2024-05-04,9,20
2024-05-04,9,18
2024-05-04,3,780
2024-05-04,3,160
2024-05-04,3,162
2024-05-04,3,392
2024-05-04,3,160
2024-05-04,4,80
2024-05-04,4,188
2024-05-04,4,140
2024-05-04,4,204
2024-05-04,1,43
2024-05-04,1,129
2024-05-04,1,43
2024-05-04,3,116
2024-05-04,5,112
2024-05-04,5,112
2024-05-04,5,410
2024-05-04,10,80
2024-05-04,10,40
2024-05-04,10,40
2024-05-04,10,50
2024-05-04,10,20
2024-05-04,3,200
2024-05-04,3,184
2024-05-04,3,92
2024-05-04,3,92
2024-05-04,5,330
2024-05-04,3,160
2024-05-04,5,197
2024-05-04,4,80
2024-05-04,3,194
2024-05-04,3,160
2024-05-04,3,80
2024-05-04,3,82
2024-05-04,5,197
2024-05-04,5,110
2024-05-04,6,110
2024-05-04,3,82
2024-05-04,5,56
2024-05-04,5,265
2024-05-04,5,130
2024-05-04,4,80
2024-05-04,4,80
2024-05-04,9,108
2024-05-04,10,80
2024-05-04,10,20
2024-05-04,3,200
2024-05-04,4,118
2024-05-04,1,35
2024-05-04,10,120
2024-05-04,1,85
2024-05-04,1,123
2024-05-04,1,150
2024-05-04,2,95
2024-05-04,3,184
2024-05-04,3,80
2024-05-04,4,80
2024-05-04,5,110
2024-05-04,5,110
2024-05-04,4,80
2024-05-04,4,80
2024-05-04,9,40
2024-05-04,4,83
2024-05-04,9,18
2024-05-04,1,85
2024-05-04,3,184
2024-05-04,10,80
2024-05-04,5,65
2024-05-04,3,240
2024-05-04,3,92
2024-05-04,9,27
2024-05-04,3,82
2024-05-04,1,123
2024-05-04,8,143
2024-05-04,1,170
2024-05-04,3,80
2024-05-04,3,92
2024-05-04,4,70
2024-05-04,6,135
2024-05-04,3,240
2024-05-04,4,80
2024-05-04,4,80
2024-05-04,1,45
2024-05-04,1,43
2024-05-04,1,160
2024-05-04,1,246
2024-05-04,1,255
2024-05-04,3,92
2024-05-04,5,220
2024-05-04,1,52
2024-05-04,3,92
2024-05-04,5,56
2024-05-04,4,118
2024-05-04,3,164
2024-05-04,3,80
2024-05-04,3,97
2024-05-04,3,120
2024-05-04,7,140
2024-05-04,3,53
2024-05-04,5,330
2024-05-04,1,135
2024-05-04,6,270
2024-05-04,9,70
2024-05-04,3,80
2024-05-04,3,97
2024-05-04,5,110
2024-05-04,3,400
2024-05-04,3,291
2024-05-04,3,80
2024-05-04,5,65
2024-05-04,4,136
2024-05-04,3,82
2024-05-04,3,80
2024-05-04,3,80
2024-05-04,5,330
2024-05-04,4,80
2024-05-04,4,80
2024-05-04,4,80
2024-05-04,1,170
2024-05-04,9,140
2024-05-04,1,150
2024-05-04,5,112
2024-05-04,3,92
2024-05-04,3,92
2024-05-04,5,110
2024-05-04,5,130
2024-05-04,4,80
2024-05-04,4,80
2024-05-04,3,92
2024-05-04,5,265
2024-05-04,6,110
2024-05-04,10,160
2024-05-04,10,40
2024-05-04,10,40
2024-05-04,10,40
2024-05-04,10,50
2024-05-04,10,50
2024-05-04,10,40
2024-05-04,10,40
2024-05-04,10,40
2024-05-04,10,80
2024-05-04,10,50
2024-05-04,2,18.25
2024-05-04,2,36.5
2024-05-04,2,18.25
2024-05-04,2,135
2024-05-04,3,80
2024-05-04,3,160
2024-05-04,3,80
2024-05-04,5,110
2024-05-04,3,80
2024-05-04,4,80
2024-05-04,9,9
2024-05-04,9,20
2024-05-04,10,40
2024-05-04,10,40
2024-05-04,10,40
2024-05-04,2,18.25
2024-05-04,2,18.25
2024-05-04,3,92
2024-05-04,10,40
2024-05-04,10,40
2024-05-04,3,37
2024-05-04,1,135
2024-05-04,10,20
2024-05-04,10,40
2024-05-05,4,272
2024-05-05,1,340
2024-05-05,5,330
2024-05-05,1,225
2024-05-05,3,184
2024-05-05,1,280
2024-05-05,9,18
2024-05-05,2,18.25
2024-05-05,9,80
2024-05-05,10,40
2024-05-05,10,40
2024-05-05,10,40
2024-05-05,10,80
2024-05-05,1,35
2024-05-05,3,80
2024-05-05,3,80
2024-05-05,3,80
2024-05-05,3,82
2024-05-05,9,70
2024-05-05,8,65
2024-05-05,1,85
2024-05-05,1,123
2024-05-05,5,110
2024-05-05,10,40
2024-05-05,3,320
2024-05-05,4,80
2024-05-05,6,110
2024-05-05,1,90
2024-05-05,1,86
2024-05-05,10,40
2024-05-05,9,27
2024-05-05,3,80
2024-05-05,7,420
2024-05-05,10,80
2024-05-05,6,220
2024-05-05,4,280
2024-05-05,3,92
2024-05-05,3,184
2024-05-05,3,160
2024-05-05,3,92
2024-05-05,3,92
2024-05-05,4,80
2024-05-05,4,140
2024-05-05,4,80
2024-05-05,10,20
2024-05-05,10,80
2024-05-05,1,170
2024-05-05,1,170
2024-05-05,4,80
2024-05-05,4,80
2024-05-05,1,215
2024-05-05,1,215
2024-05-05,5,265
2024-05-05,1,123
2024-05-05,3,53
2024-05-05,4,77
2024-05-05,1,85
2024-05-05,1,85
2024-05-05,1,170
2024-05-05,1,1680
2024-05-05,1,732
2024-05-05,3,92
2024-05-05,3,160
2024-05-05,3,194
2024-05-05,5,220
2024-05-05,10,40
2024-05-05,10,40
2024-05-05,10,40
2024-05-05,1,170
2024-05-05,1,105
2024-05-05,5,56
2024-05-05,5,56
2024-05-05,1,160
2024-05-05,1,85
2024-05-05,1,35
2024-05-05,3,80
2024-05-05,3,97
2024-05-05,5,110
2024-05-05,1,85
2024-05-05,1,123
2024-05-05,3,97
2024-05-05,6,110
2024-05-05,5,197
2024-05-05,6,220
2024-05-05,1,90
2024-05-05,5,110
2024-05-05,3,80
2024-05-05,3,92
2024-05-05,3,92
2024-05-05,1,160
2024-05-05,4,80
2024-05-05,9,90
2024-05-05,5,110
2024-05-05,3,53
2024-05-05,4,53
2024-05-05,4,77
2024-05-05,4,77
2024-05-05,2,54.75
2024-05-05,3,80
2024-05-05,1,246
2024-05-05,1,340
2024-05-05,3,160
2024-05-05,3,82
2024-05-05,3,80
2024-05-05,3,80
2024-05-05,3,97
2024-05-05,4,68
2024-05-05,4,70
2024-05-05,1,43
2024-05-05,1,43
2024-05-05,1,45
2024-05-05,3,92
2024-05-05,3,92
2024-05-05,1,215
2024-05-05,4,77
2024-05-05,5,110
2024-05-05,5,130
2024-05-05,7,140
2024-05-05,10,80
2024-05-05,10,40
2024-05-05,10,40
2024-05-05,4,77
2024-05-05,3,92
2024-05-05,9,36
2024-05-05,9,20
2024-05-05,10,40
2024-05-05,3,92
2024-05-05,5,110
2024-05-05,1,255
2024-05-05,3,80
2024-05-05,9,20
2024-05-05,3,8900
2024-05-05,3,2670
